rep,n,trueProp1,true_beta,center_X,set_up,d,corr,prcNA,prop1
1,115000,0.8487217391304348,[ 0.51395068  0.02318884 -0.19370243  0.46745645 -0.13696081],[ 1.77847329  0.0802426  -0.67028727  1.6175848  -0.47393876],LOG_n115000_d5_corr095_prcNA05_prop1085_rep1,5,0.95,0.5,0.85
2,115000,0.5013913043478261,[-1.33241215 -0.44317809  0.18034268 -0.03699994  0.20962071],[0. 0. 0. 0. 0.],LOG_n115000_d5_corr00_prcNA025_prop105_rep2,5,0.0,0.25,0.5
2,115000,0.5013913043478261,[-1.33241215 -0.44317809  0.18034268 -0.03699994  0.20962071],[0. 0. 0. 0. 0.],LOG_n115000_d5_corr00_prcNA05_prop105_rep2,5,0.0,0.5,0.5
2,115000,0.8454695652173913,[-1.33241215 -0.44317809  0.18034268 -0.03699994  0.20962071],[-1.48414574 -0.49364671  0.2008799  -0.04121345  0.23349208],LOG_n115000_d5_corr00_prcNA025_prop1085_rep2,5,0.0,0.25,0.85
2,115000,0.8454695652173913,[-1.33241215 -0.44317809  0.18034268 -0.03699994  0.20962071],[-1.48414574 -0.49364671  0.2008799  -0.04121345  0.23349208],LOG_n115000_d5_corr00_prcNA05_prop1085_rep2,5,0.0,0.5,0.85
2,115000,0.49944347826086954,[-1.33241215 -0.44317809  0.18034268 -0.03699994  0.20962071],[0. 0. 0. 0. 0.],LOG_n115000_d5_corr065_prcNA025_prop105_rep2,5,0.65,0.25,0.5
2,115000,0.49944347826086954,[-1.33241215 -0.44317809  0.18034268 -0.03699994  0.20962071],[0. 0. 0. 0. 0.],LOG_n115000_d5_corr065_prcNA05_prop105_rep2,5,0.65,0.5,0.5
2,115000,0.8524521739130435,[-1.33241215 -0.44317809  0.18034268 -0.03699994  0.20962071],[-1.59225949 -0.52960679  0.21551316 -0.04421568  0.25050099],LOG_n115000_d5_corr065_prcNA025_prop1085_rep2,5,0.65,0.25,0.85
2,115000,0.8524521739130435,[-1.33241215 -0.44317809  0.18034268 -0.03699994  0.20962071],[-1.59225949 -0.52960679  0.21551316 -0.04421568  0.25050099],LOG_n115000_d5_corr065_prcNA05_prop1085_rep2,5,0.65,0.5,0.85
2,115000,0.5011652173913044,[-1.33241215 -0.44317809  0.18034268 -0.03699994  0.20962071],[0. 0. 0. 0. 0.],LOG_n115000_d5_corr095_prcNA025_prop105_rep2,5,0.95,0.25,0.5
2,115000,0.5011652173913044,[-1.33241215 -0.44317809  0.18034268 -0.03699994  0.20962071],[0. 0. 0. 0. 0.],LOG_n115000_d5_corr095_prcNA05_prop105_rep2,5,0.95,0.5,0.5
2,115000,0.8544434782608695,[-1.33241215 -0.44317809  0.18034268 -0.03699994  0.20962071],[-1.55311923 -0.51658821  0.2102155  -0.04312879  0.24434328],LOG_n115000_d5_corr095_prcNA025_prop1085_rep2,5,0.95,0.25,0.85
2,115000,0.8544434782608695,[-1.33241215 -0.44317809  0.18034268 -0.03699994  0.20962071],[-1.55311923 -0.51658821  0.2102155  -0.04312879  0.24434328],LOG_n115000_d5_corr095_prcNA05_prop1085_rep2,5,0.95,0.5,0.85
