set_up,method,n_train,estimated_beta,file_name,running_time_train,running_time_pred,running_datetime,sim,replicate,n,d,corr,prop_NA,center_X,true_beta,pred_beta,pred_intercept,true_intercept,angular_error,mse_error,angular_error_with_intercept,mse_error_with_intercept
SimF3_rep0_n115000_d5_corrMIXTURE_NA25,PbP.Fixed,100,,SimF3_rep0_n115000_d5_corrMIXTURE_NA25_PbP.Fixed_100,0.113164186477661,0.19007420539856,2025-06-19 10:39:57.983263,SimF3,0.0,115000.0,5.0,MIXTURE,25.0,[0. 0. 0. 0. 0.],[ 1.62434536 -0.61175641 -0.52817175 -1.07296862  0.86540763],,,0.0,[nan nan nan nan nan],,,
SimF3_rep1_n115000_d5_corrMIXTURE_NA25,PbP.Fixed,100,,SimF3_rep1_n115000_d5_corrMIXTURE_NA25_PbP.Fixed_100,0.0444774627685547,0.206034898757935,2025-06-19 10:39:58.482798,SimF3,1.0,115000.0,5.0,MIXTURE,25.0,[0. 0. 0. 0. 0.],[ 1.62434536 -0.61175641 -0.52817175 -1.07296862  0.86540763],,,0.0,[nan nan nan nan nan],,,
SimF3_rep2_n115000_d5_corrMIXTURE_NA25,PbP.Fixed,100,,SimF3_rep2_n115000_d5_corrMIXTURE_NA25_PbP.Fixed_100,0.0085237026214599,0.187564611434937,2025-06-19 10:39:59.209915,SimF3,2.0,115000.0,5.0,MIXTURE,25.0,[0. 0. 0. 0. 0.],[ 1.62434536 -0.61175641 -0.52817175 -1.07296862  0.86540763],,,0.0,[nan nan nan nan nan],,,
SimF3_rep3_n115000_d5_corrMIXTURE_NA25,PbP.Fixed,100,,SimF3_rep3_n115000_d5_corrMIXTURE_NA25_PbP.Fixed_100,0.010418176651001,0.200445175170898,2025-06-19 10:39:59.56451,SimF3,3.0,115000.0,5.0,MIXTURE,25.0,[0. 0. 0. 0. 0.],[ 1.62434536 -0.61175641 -0.52817175 -1.07296862  0.86540763],,,0.0,[nan nan nan nan nan],,,
SimF3_rep4_n115000_d5_corrMIXTURE_NA25,PbP.Fixed,100,,SimF3_rep4_n115000_d5_corrMIXTURE_NA25_PbP.Fixed_100,0.0083117485046386,0.175546646118164,2025-06-19 10:39:59.937299,SimF3,4.0,115000.0,5.0,MIXTURE,25.0,[0. 0. 0. 0. 0.],[ 1.62434536 -0.61175641 -0.52817175 -1.07296862  0.86540763],,,0.0,[nan nan nan nan nan],,,
SimF3_rep5_n115000_d5_corrMIXTURE_NA25,PbP.Fixed,100,,SimF3_rep5_n115000_d5_corrMIXTURE_NA25_PbP.Fixed_100,0.0089607238769531,0.192106485366821,2025-06-19 10:40:00.271952,SimF3,5.0,115000.0,5.0,MIXTURE,25.0,[0. 0. 0. 0. 0.],[ 1.62434536 -0.61175641 -0.52817175 -1.07296862  0.86540763],,,0.0,[nan nan nan nan nan],,,
SimF3_rep6_n115000_d5_corrMIXTURE_NA25,PbP.Fixed,100,,SimF3_rep6_n115000_d5_corrMIXTURE_NA25_PbP.Fixed_100,0.0101356506347656,0.198490858078003,2025-06-19 10:40:00.629375,SimF3,6.0,115000.0,5.0,MIXTURE,25.0,[0. 0. 0. 0. 0.],[ 1.62434536 -0.61175641 -0.52817175 -1.07296862  0.86540763],,,0.0,[nan nan nan nan nan],,,
SimF3_rep7_n115000_d5_corrMIXTURE_NA25,PbP.Fixed,100,,SimF3_rep7_n115000_d5_corrMIXTURE_NA25_PbP.Fixed_100,0.0096640586853027,0.184539318084717,2025-06-19 10:40:00.98786,SimF3,7.0,115000.0,5.0,MIXTURE,25.0,[0. 0. 0. 0. 0.],[ 1.62434536 -0.61175641 -0.52817175 -1.07296862  0.86540763],,,0.0,[nan nan nan nan nan],,,
SimF3_rep8_n115000_d5_corrMIXTURE_NA25,PbP.Fixed,100,,SimF3_rep8_n115000_d5_corrMIXTURE_NA25_PbP.Fixed_100,0.0091128349304199,0.183329582214355,2025-06-19 10:40:01.347077,SimF3,8.0,115000.0,5.0,MIXTURE,25.0,[0. 0. 0. 0. 0.],[ 1.62434536 -0.61175641 -0.52817175 -1.07296862  0.86540763],,,0.0,[nan nan nan nan nan],,,
SimF3_rep9_n115000_d5_corrMIXTURE_NA25,PbP.Fixed,100,,SimF3_rep9_n115000_d5_corrMIXTURE_NA25_PbP.Fixed_100,0.0108869075775146,0.202847480773926,2025-06-19 10:40:02.002998,SimF3,9.0,115000.0,5.0,MIXTURE,25.0,[0. 0. 0. 0. 0.],[ 1.62434536 -0.61175641 -0.52817175 -1.07296862  0.86540763],,,0.0,[nan nan nan nan nan],,,
