"set_up","method","n_train","estimated_beta","file_name","running_time_train","running_time_pred","running_datetime"
"SimA_rep6_n115000_d5_corr65_NA25","MICE.1.IMP",500,"[[1.41268089662693, -0.483970946102487, -0.447485763178206, -0.968764664307832, 0.744953677729152], [-0.0893803203528394]]","SimA_rep6_n115000_d5_corr65_NA25_MICE.1.IMP_500",0.253300666809082,0.00739312171936035,"2025-06-08 13:18:27.678813"
"SimA_rep7_n115000_d5_corr65_NA25","MICE.1.IMP",500,"[[0.819050749828932, -0.246603044559223, -0.296695753929052, -0.541274425915122, 0.435243081103267], [0.0562672759461997]]","SimA_rep7_n115000_d5_corr65_NA25_MICE.1.IMP_500",0.217877149581909,0.0107018947601318,"2025-06-08 13:18:27.99876"
"SimA_rep8_n115000_d5_corr65_NA25","MICE.1.IMP",500,"[[0.917305498547338, -0.117535448225501, -0.797547195327588, -0.688071821384362, 0.695635661585507], [-0.230415457409688]]","SimA_rep8_n115000_d5_corr65_NA25_MICE.1.IMP_500",0.228014469146729,0.0066990852355957,"2025-06-08 13:18:28.284388"
"SimA_rep9_n115000_d5_corr65_NA25","MICE.1.IMP",500,"[[1.10481981429247, -0.162549678571866, -0.519635732621056, -0.777829134255889, 0.582853255921922], [-0.0558541201491426]]","SimA_rep9_n115000_d5_corr65_NA25_MICE.1.IMP_500",0.547539710998535,0.00621986389160156,"2025-06-08 13:18:28.568631"
"SimA_rep0_n115000_d5_corr65_NA25","MICE.1.IMP",1000,"[[0.946602519336709, -0.241069446085704, -0.46874189138338, -0.42893321292319, 0.357240350931261], [0.0466683431536301]]","SimA_rep0_n115000_d5_corr65_NA25_MICE.1.IMP_1000",0.222768306732178,0.00639247894287109,"2025-06-08 13:18:29.181954"
"SimA_rep1_n115000_d5_corr65_NA25","MICE.1.IMP",1000,"[[0.950711680819132, -0.155918962334718, -0.522213439639919, -0.687474374327035, 0.460408088961881], [0.151740518043806]]","SimA_rep1_n115000_d5_corr65_NA25_MICE.1.IMP_1000",0.566688776016235,0.00684213638305664,"2025-06-08 13:18:29.460511"
"SimA_rep2_n115000_d5_corr65_NA25","MICE.1.IMP",1000,"[[0.978626192271542, -0.270987489058476, -0.462630759512591, -0.58189945123421, 0.443528050512941], [-0.0328345065312431]]","SimA_rep2_n115000_d5_corr65_NA25_MICE.1.IMP_1000",0.215274572372437,0.0109579563140869,"2025-06-08 13:18:30.082494"
"SimA_rep3_n115000_d5_corr65_NA25","MICE.1.IMP",1000,"[[0.870554149964378, -0.174859923488403, -0.348663729041462, -0.757018379639519, 0.56354694263689], [0.039938954700672]]","SimA_rep3_n115000_d5_corr65_NA25_MICE.1.IMP_1000",0.245907545089722,0.00697541236877441,"2025-06-08 13:18:30.357669"
"SimA_rep4_n115000_d5_corr65_NA25","MICE.1.IMP",1000,"[[0.77707010546018, -0.19654949398123, -0.302666954934628, -0.38795873708932, 0.16885712130798], [-0.108916330480587]]","SimA_rep4_n115000_d5_corr65_NA25_MICE.1.IMP_1000",0.675371885299683,0.00746273994445801,"2025-06-08 13:18:28.084743"
"SimA_rep5_n115000_d5_corr65_NA25","MICE.1.IMP",1000,"[[0.946872009701318, -0.205217078303867, -0.456031779002179, -0.593980441131874, 0.372273657204499], [0.00849185176450532]]","SimA_rep5_n115000_d5_corr65_NA25_MICE.1.IMP_1000",0.57786226272583,0.0293326377868652,"2025-06-08 13:18:28.83656"
