set_up,method,n_train,estimated_beta,file_name,running_time_train,running_time_pred,running_datetime,sim,replicate,n,d,corr,prop_NA,center_X,true_beta,pred_beta,pred_intercept,true_intercept,angular_error,mse_error,angular_error_with_intercept,mse_error_with_intercept
SimF2_rep10_n115000_d25_corrMIXTURE_NA25,PbP.Fixed,100,,SimF2_rep10_n115000_d25_corrMIXTURE_NA25_PbP.Fixed_100,0.102860927581787,0.959189891815186,2025-06-18 17:28:44.221277,SimF2,10.0,115000.0,25.0,MIXTURE,25.0,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0.]","[ 1.20479167 -0.09274874  1.97020073 -0.1562754  -0.24293277 -1.40019621
 -0.17837792 -0.91213538  1.20957865 -0.24275219  1.1652716   0.37981369
  0.88187958 -1.33451328  0.36135347  0.96551473  0.07232592  0.74382849
 -0.39103047 -0.26804046  0.64388346  0.65462004  0.30019504  0.39268705
 -0.34709597]",,,0.0,"[nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
 nan nan nan nan nan nan nan]",,,
SimF2_rep11_n115000_d25_corrMIXTURE_NA25,PbP.Fixed,100,,SimF2_rep11_n115000_d25_corrMIXTURE_NA25_PbP.Fixed_100,0.0893898010253906,0.63445782661438,2025-06-18 17:28:45.715499,SimF2,11.0,115000.0,25.0,MIXTURE,25.0,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0.]","[-1.20666594  1.29548701  0.39011803 -1.00468132  0.31477619  0.34014481
  0.44511576  0.12509594 -1.30180944  0.38741058 -1.86583679 -0.80768212
  0.009018    0.23628581 -0.90180998 -0.31058279 -1.15164342  1.79969001
 -0.32043502 -1.06924922  2.35489186 -1.48445404 -0.06934906  1.51825771
 -1.57336552]",,,0.0,"[nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
 nan nan nan nan nan nan nan]",,,
SimF2_rep12_n115000_d25_corrMIXTURE_NA25,PbP.Fixed,100,,SimF2_rep12_n115000_d25_corrMIXTURE_NA25_PbP.Fixed_100,0.0774819850921631,0.693337678909302,2025-06-18 17:28:46.809759,SimF2,12.0,115000.0,25.0,MIXTURE,25.0,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0.]","[-0.52890433 -0.46427379  0.47856616 -1.0668028   1.36863833  0.05932322
 -0.04759204 -1.71526055  0.74999135 -0.3594208  -0.42974999 -0.27712666
  1.88139564 -0.01661642  1.30243111 -1.37093277 -0.83400368 -0.18464966
  0.69398917 -1.68528004 -0.04885824 -0.27065069  0.89253501  1.05617767
 -0.98254603]",,,0.0,"[nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
 nan nan nan nan nan nan nan]",,,
SimF2_rep13_n115000_d25_corrMIXTURE_NA25,PbP.Fixed,100,,SimF2_rep13_n115000_d25_corrMIXTURE_NA25_PbP.Fixed_100,0.0910582542419434,0.656509160995483,2025-06-18 17:28:47.956369,SimF2,13.0,115000.0,25.0,MIXTURE,25.0,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0.]","[-0.20639349 -0.16710633  0.50275312  0.69398508 -1.46938908  0.51733001
  1.48793157  1.32545186 -0.49589038 -0.19769837 -0.10825381  1.02875603
 -0.77910533  0.83533171 -1.48645614  1.90777816 -0.94344022 -0.29797745
 -0.2129898  -0.12948414  1.0646728  -0.86837911  1.56133934  1.04157201
 -1.57403946]",,,0.0,"[nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
 nan nan nan nan nan nan nan]",,,
SimF2_rep14_n115000_d25_corrMIXTURE_NA25,PbP.Fixed,100,,SimF2_rep14_n115000_d25_corrMIXTURE_NA25_PbP.Fixed_100,0.0735044479370117,0.999075651168823,2025-06-18 17:28:49.386348,SimF2,14.0,115000.0,25.0,MIXTURE,25.0,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0.]","[ 0.01860531 -0.43879223 -0.45284181 -0.24529507  0.66492764  0.2459613
  1.48369409 -0.06937178  1.34898961  1.35959917  0.42573363  0.08636516
 -0.93295028  1.27650479 -1.64009277 -0.11090248  0.47475026  1.2988543
 -0.47830278 -1.19427861  1.63277962 -0.8392534   1.65191483 -0.14934286
 -1.10104339]",,,0.0,"[nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
 nan nan nan nan nan nan nan]",,,
SimF2_rep15_n115000_d25_corrMIXTURE_NA25,PbP.Fixed,100,,SimF2_rep15_n115000_d25_corrMIXTURE_NA25_PbP.Fixed_100,0.0613100528717041,0.622830867767334,2025-06-18 17:28:50.93133,SimF2,15.0,115000.0,25.0,MIXTURE,25.0,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0.]","[-1.12373377 -0.65974476  0.21561952  0.48410488  1.4761289   0.59139653
  1.84905348  0.38700219 -0.52229899 -0.73331953  0.72262678 -1.18616352
 -0.97070582  0.00694006  0.77865088 -2.27781036  0.68168993 -1.96086715
 -2.29551019  0.77157366  1.07122368  1.17798224  0.60183393  1.83319374
  1.25489668]",,,0.0,"[nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
 nan nan nan nan nan nan nan]",,,
SimF2_rep16_n115000_d25_corrMIXTURE_NA25,PbP.Fixed,100,,SimF2_rep16_n115000_d25_corrMIXTURE_NA25_PbP.Fixed_100,0.11110782623291,0.64441442489624,2025-06-18 17:28:51.860212,SimF2,16.0,115000.0,25.0,MIXTURE,25.0,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0.]","[-1.5744971   0.14621283  0.65756222 -0.0451344   0.36692276  0.10967233
  1.58811145  1.55583577  0.20224157  0.07113517 -0.64808571  0.56092715
  1.12871085  0.40025707 -0.21308874  0.5312388   1.41147515  0.47817164
  0.88246592 -2.16442114 -0.17567274 -1.28334369 -0.76299698  0.24397621
  0.44441357]",,,0.0,"[nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
 nan nan nan nan nan nan nan]",,,
SimF2_rep17_n115000_d25_corrMIXTURE_NA25,PbP.Fixed,100,,SimF2_rep17_n115000_d25_corrMIXTURE_NA25_PbP.Fixed_100,0.06400465965271,0.670299291610718,2025-06-18 17:28:52.879685,SimF2,17.0,115000.0,25.0,MIXTURE,25.0,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0.]","[-0.03616551 -0.44557416  0.28376329  0.40279129  1.06906937 -0.61379107
 -1.19410691 -1.08996073  0.63069093  0.03287223  0.04666058  1.00396941
  1.44181018 -0.87220385  2.23959921 -0.94418988 -0.64438974 -0.25982998
  0.11494266 -1.34879926  1.32460979 -0.36522009 -0.35113084 -0.14803779
 -0.94951829]",,,0.0,"[nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
 nan nan nan nan nan nan nan]",,,
SimF2_rep18_n115000_d25_corrMIXTURE_NA25,PbP.Fixed,100,,SimF2_rep18_n115000_d25_corrMIXTURE_NA25_PbP.Fixed_100,0.0749442577362061,1.0152108669281,2025-06-18 17:28:53.841113,SimF2,18.0,115000.0,25.0,MIXTURE,25.0,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0.]","[-1.35940105 -0.03143131  0.61866525  0.02443423 -1.80306882 -0.81342728
  0.29996128  0.59481167  0.4361413  -0.99458309 -2.09125313 -0.20672902
 -0.30038932  0.30669829  0.88230747 -0.61233328 -1.14402972 -0.19705281
 -1.2041642   0.61672357 -0.97758859  1.02513811  0.20266125  0.67573545
 -1.33139831]",,,0.0,"[nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
 nan nan nan nan nan nan nan]",,,
SimF2_rep19_n115000_d25_corrMIXTURE_NA25,PbP.Fixed,100,,SimF2_rep19_n115000_d25_corrMIXTURE_NA25_PbP.Fixed_100,0.106401920318604,0.707982063293457,2025-06-18 17:28:55.195199,SimF2,19.0,115000.0,25.0,MIXTURE,25.0,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0.]","[ 0.01849696 -0.53163113 -0.00571035 -0.28528075 -1.38180777  0.94208694
  0.61355975 -1.56086177  1.49625973 -0.88262577  2.29882149 -0.06688982
 -1.33787456 -0.92103497 -0.14690925  0.29574753  0.39085407 -1.71266625
 -0.24175711 -1.31407639  0.54698792 -0.00728111 -0.23886781  2.20743424
  1.44586713]",,,0.0,"[nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
 nan nan nan nan nan nan nan]",,,
