sim,replicate,n,d,corr,prop_NA,center_X,set_up,true_beta
SimG3,0.0,265000.0,4.0,MIXTURE,25.0,[0. 0. 0. 0.],SimG3_rep0_n265000_d4_corrMIXTURE_NA25,[ 1.62434536 -0.61175641 -0.52817175 -1.07296862]
SimG3,0.0,265000.0,4.0,MIXTURE,25.0,[0. 0. 0. 0.],SimG3_rep0_n265000_d4_corrMIXTURE_NA25,[ 1.62434536 -0.61175641 -0.52817175 -1.07296862]
