"set_up","method","n_train","estimated_beta","file_name","running_time_train","running_time_pred","running_datetime"
"SimE_rep8_n115000_d5_corrMIXTURE_NA25","MICE.1.IMP",500,"[[1.71784738007406, -0.60000080462657, -0.325381270643441, -0.836734818558949, 0.619174110815765], [0.250525436910949]]","SimE_rep8_n115000_d5_corrMIXTURE_NA25_MICE.1.IMP_500",0.144516468048096,0.00505566596984863,"2025-06-12 09:29:07.020097"
"SimE_rep9_n115000_d5_corrMIXTURE_NA25","MICE.1.IMP",500,"[[1.41340173510764, -0.774292811561413, -0.248690031050909, -0.846704828918862, 0.478714074147461], [0.0485522373562045]]","SimE_rep9_n115000_d5_corrMIXTURE_NA25_MICE.1.IMP_500",0.144303560256958,0.00513935089111328,"2025-06-12 09:29:07.219936"
"SimE_rep0_n115000_d5_corrMIXTURE_NA25","MICE.1.IMP",1000,"[[1.57222392383323, -0.575744650388584, -0.246670382716376, -0.721242079060074, 0.429538450297943], [0.00248981980744196]]","SimE_rep0_n115000_d5_corrMIXTURE_NA25_MICE.1.IMP_1000",0.158627271652222,0.00557804107666016,"2025-06-12 09:29:07.418519"
"SimE_rep1_n115000_d5_corrMIXTURE_NA25","MICE.1.IMP",1000,"[[1.53486267587843, -0.466260786062403, -0.230219620431351, -0.91311148956079, 0.579154478507608], [0.096566047910212]]","SimE_rep1_n115000_d5_corrMIXTURE_NA25_MICE.1.IMP_1000",0.154720544815063,0.00505495071411133,"2025-06-12 09:29:07.632494"
"SimE_rep2_n115000_d5_corrMIXTURE_NA25","MICE.1.IMP",1000,"[[1.4570013136621, -0.745118436753495, -0.429908147707098, -0.762779577177678, 0.52572219351731], [-0.159037869655426]]","SimE_rep2_n115000_d5_corrMIXTURE_NA25_MICE.1.IMP_1000",0.157961368560791,0.00524616241455078,"2025-06-12 09:29:07.846288"
"SimE_rep3_n115000_d5_corrMIXTURE_NA25","MICE.1.IMP",1000,"[[1.53319111669661, -0.425701646954025, -0.640026162867006, -0.622150674993528, 0.478499307530401], [-0.101598469598862]]","SimE_rep3_n115000_d5_corrMIXTURE_NA25_MICE.1.IMP_1000",0.687312126159668,0.00759005546569824,"2025-06-12 09:29:08.059861"
"SimE_rep4_n115000_d5_corrMIXTURE_NA25","MICE.1.IMP",1000,"[[1.60433816150429, -0.700727415490594, -0.456545121067809, -0.50339994652635, 0.343815651806406], [0.141247580192019]]","SimE_rep4_n115000_d5_corrMIXTURE_NA25_MICE.1.IMP_1000",0.164051532745361,0.00519490242004395,"2025-06-12 09:29:08.81221"
"SimE_rep5_n115000_d5_corrMIXTURE_NA25","MICE.1.IMP",1000,"[[1.65793698296994, -0.626429540179226, -0.538673361632248, -0.774916291771756, 0.470331120409656], [0.0285048472118964]]","SimE_rep5_n115000_d5_corrMIXTURE_NA25_MICE.1.IMP_1000",0.155993223190308,0.00561928749084473,"2025-06-12 09:29:09.032251"
"SimE_rep6_n115000_d5_corrMIXTURE_NA25","MICE.1.IMP",1000,"[[1.52697500632821, -0.542329397552333, -0.40061572071662, -0.756376396374567, 0.567915635682379], [-0.0196520551418986]]","SimE_rep6_n115000_d5_corrMIXTURE_NA25_MICE.1.IMP_1000",0.647507667541504,0.00519919395446777,"2025-06-12 09:29:09.249104"
"SimE_rep7_n115000_d5_corrMIXTURE_NA25","MICE.1.IMP",1000,"[[1.30532327840321, -0.604651355976693, -0.420676727294684, -0.675287136467591, 0.483428681540887], [-0.00220949705206733]]","SimE_rep7_n115000_d5_corrMIXTURE_NA25_MICE.1.IMP_1000",0.153016090393066,0.00526165962219238,"2025-06-12 09:29:09.956432"
"SimE_rep8_n115000_d5_corrMIXTURE_NA25","MICE.1.IMP",1000,"[[1.88050301003109, -0.586630797186004, -0.480661203222463, -1.10964711593428, 0.836456345767855], [0.291167582818311]]","SimE_rep8_n115000_d5_corrMIXTURE_NA25_MICE.1.IMP_1000",0.1717529296875,0.00550127029418945,"2025-06-12 09:29:10.165533"
"SimE_rep9_n115000_d5_corrMIXTURE_NA25","MICE.1.IMP",1000,"[[1.5657868609279, -0.55220499241847, -0.398392500229263, -0.841054915318619, 0.555829502839813], [0.0109175871516122]]","SimE_rep9_n115000_d5_corrMIXTURE_NA25_MICE.1.IMP_1000",0.159953355789185,0.00507998466491699,"2025-06-12 09:29:10.397114"
