"set_up","method","n_train","estimated_beta","file_name","running_time_train","running_time_pred","running_datetime"
"SimB_rep8_n115000_d5_corrMIXTURE_NA25","MICE.1.IMP",500,"[[0.98251046298058, -0.320845566597618, -0.322209834266751, -0.617567392397347, 0.450402514233083], [0.0771762534256099]]","SimB_rep8_n115000_d5_corrMIXTURE_NA25_MICE.1.IMP_500",0.229361534118652,0.00657296180725098,"2025-06-09 18:40:30.123565"
"SimB_rep9_n115000_d5_corrMIXTURE_NA25","MICE.1.IMP",500,"[[1.1198225611281, -0.171267039211531, -0.199152829625971, -0.816241539294868, 0.563002342044038], [0.0881219448262651]]","SimB_rep9_n115000_d5_corrMIXTURE_NA25_MICE.1.IMP_500",0.52586841583252,0.00654196739196777,"2025-06-09 18:40:30.411559"
"SimB_rep0_n115000_d5_corrMIXTURE_NA25","MICE.1.IMP",1000,"[[1.08485284915041, -0.244300599449734, -0.377039384976165, -0.620705563634643, 0.363685443968746], [0.222153487616242]]","SimB_rep0_n115000_d5_corrMIXTURE_NA25_MICE.1.IMP_1000",0.24329686164856,0.00741028785705566,"2025-06-09 18:40:31.000643"
"SimB_rep1_n115000_d5_corrMIXTURE_NA25","MICE.1.IMP",1000,"[[1.13145359809666, -0.0487067360709131, -0.260576171577924, -0.617983051221326, 0.467459227765563], [0.249012707364026]]","SimB_rep1_n115000_d5_corrMIXTURE_NA25_MICE.1.IMP_1000",0.262632608413696,0.00754189491271973,"2025-06-09 18:40:31.302126"
"SimB_rep2_n115000_d5_corrMIXTURE_NA25","MICE.1.IMP",1000,"[[1.04111598775458, -0.142211215762091, -0.410749289523883, -0.604752133644431, 0.51916109768089], [0.196366489705386]]","SimB_rep2_n115000_d5_corrMIXTURE_NA25_MICE.1.IMP_1000",0.588544845581055,0.0067441463470459,"2025-06-09 18:40:31.627496"
"SimB_rep3_n115000_d5_corrMIXTURE_NA25","MICE.1.IMP",1000,"[[0.964218020236726, -0.138929107392848, -0.520951035898801, -0.361189325544148, 0.241806490080508], [0.205946832602841]]","SimB_rep3_n115000_d5_corrMIXTURE_NA25_MICE.1.IMP_1000",0.250892400741577,0.0116822719573975,"2025-06-09 18:40:32.278223"
"SimB_rep4_n115000_d5_corrMIXTURE_NA25","MICE.1.IMP",1000,"[[0.990711965754275, -0.152405975044423, -0.415921215758292, -0.482011397402675, 0.393532880998179], [0.172013162041377]]","SimB_rep4_n115000_d5_corrMIXTURE_NA25_MICE.1.IMP_1000",0.253255128860474,0.00741362571716309,"2025-06-09 18:40:32.592105"
"SimB_rep5_n115000_d5_corrMIXTURE_NA25","MICE.1.IMP",1000,"[[0.946681311899072, -0.0267673778683556, -0.302210527550252, -0.495868829594987, 0.35111755625711], [0.133353050120632]]","SimB_rep5_n115000_d5_corrMIXTURE_NA25_MICE.1.IMP_1000",0.237030982971191,0.00693416595458984,"2025-06-09 18:40:32.91009"
"SimB_rep6_n115000_d5_corrMIXTURE_NA25","MICE.1.IMP",1000,"[[0.971963127638762, -0.0716209490926666, -0.527447473841352, -0.34160850609188, 0.480770164686863], [0.299180640684215]]","SimB_rep6_n115000_d5_corrMIXTURE_NA25_MICE.1.IMP_1000",0.625656127929688,0.00712084770202637,"2025-06-09 18:40:33.209532"
"SimB_rep7_n115000_d5_corrMIXTURE_NA25","MICE.1.IMP",1000,"[[0.922155644704771, -0.115317965290454, -0.386548502548775, -0.62904279076033, 0.474783320236828], [0.196090382537014]]","SimB_rep7_n115000_d5_corrMIXTURE_NA25_MICE.1.IMP_1000",0.257625341415405,0.0122714042663574,"2025-06-09 18:40:33.89693"
"SimB_rep8_n115000_d5_corrMIXTURE_NA25","MICE.1.IMP",1000,"[[0.914073389334123, -0.209984766612682, -0.20086104807186, -0.597713101474003, 0.371302744100191], [0.0293250372436194]]","SimB_rep8_n115000_d5_corrMIXTURE_NA25_MICE.1.IMP_1000",0.257614374160767,0.00734949111938477,"2025-06-09 18:40:34.221072"
"SimB_rep9_n115000_d5_corrMIXTURE_NA25","MICE.1.IMP",1000,"[[1.04085487547218, -0.180869304352746, -0.260060145568994, -0.642422781466845, 0.544829403414594], [0.0716604239396475]]","SimB_rep9_n115000_d5_corrMIXTURE_NA25_MICE.1.IMP_1000",0.255303382873535,0.329537630081177,"2025-06-09 18:40:34.542365"
"SimB_rep0_n115000_d5_corrMIXTURE_NA25","MICE.1.IMP",5000,"[[1.1035071004926, -0.161242057279765, -0.347910635655243, -0.636088538322019, 0.454521170484562], [0.1707351562869]]","SimB_rep0_n115000_d5_corrMIXTURE_NA25_MICE.1.IMP_5000",0.363759994506836,0.00837802886962891,"2025-06-09 18:40:35.183948"
"SimB_rep1_n115000_d5_corrMIXTURE_NA25","MICE.1.IMP",5000,"[[1.04575675325824, -0.153336694390588, -0.36429927493529, -0.582948773914988, 0.48193172505116], [0.186872092663101]]","SimB_rep1_n115000_d5_corrMIXTURE_NA25_MICE.1.IMP_5000",0.372906923294067,0.00834202766418457,"2025-06-09 18:40:35.623035"
"SimB_rep2_n115000_d5_corrMIXTURE_NA25","MICE.1.IMP",5000,"[[0.925545074211275, -0.0788106535043832, -0.37950333982926, -0.602577457619317, 0.427840907237235], [0.219369579660458]]","SimB_rep2_n115000_d5_corrMIXTURE_NA25_MICE.1.IMP_5000",0.378532886505127,0.0131537914276123,"2025-06-09 18:40:36.064416"
