set_up,method,n_train,estimated_beta,file_name,running_time_train,running_time_pred,running_datetime,sim,replicate,n,d,corr,prop_NA,true_beta,true_intercept,center_X,pred_beta,pred_intercept,angular_error,mse_error,angular_error_with_intercept,mse_error_with_intercept
SimB_rep0_n115000_d5_corrMIXTURE_NA25,MICE.1.IMP,100,"[[1.23343875598143, -0.38354725852506, -0.687234815325072, -0.437472354725446, -0.514285197871708], [0.834793876045875]]",SimB_rep0_n115000_d5_corrMIXTURE_NA25_MICE.1.IMP_100,0.6480057239532471,0.00725889205932617,2025-06-09 18:40:21.786774,SimB,0.0,115000.0,5.0,MIXTURE,25.0,[ 1.62434536 -0.61175641 -0.52817175 -1.07296862  0.86540763],0.0,[0. 0. 0. 0. 0.],"[1.23343875598143, -0.38354725852506, -0.687234815325072, -0.437472354725446, -0.514285197871708]",0.834793876045875,0.7740960505823946,0.5075192502182777,0.8829006518434548,0.5390795110958472
SimB_rep0_n115000_d5_corrMIXTURE_NA25,MICE.1.IMP,500,"[[0.994851291250475, -0.321062983416044, -0.345563234583835, -0.636620072410307, 0.322323286423481], [0.356698287712696]]",SimB_rep0_n115000_d5_corrMIXTURE_NA25_MICE.1.IMP_500,0.253021240234375,0.00743770599365234,2025-06-09 18:40:26.977674,SimB,0.0,115000.0,5.0,MIXTURE,25.0,[ 1.62434536 -0.61175641 -0.52817175 -1.07296862  0.86540763],0.0,[0. 0. 0. 0. 0.],"[0.994851291250475, -0.321062983416044, -0.345563234583835, -0.636620072410307, 0.322323286423481]",0.35669828771269607,0.14784700069487078,0.19989039599480443,0.3029975366836731,0.1877809414051986
SimB_rep0_n115000_d5_corrMIXTURE_NA25,MICE.1.IMP,1000,"[[1.08485284915041, -0.244300599449734, -0.377039384976165, -0.620705563634643, 0.363685443968746], [0.222153487616242]]",SimB_rep0_n115000_d5_corrMIXTURE_NA25_MICE.1.IMP_1000,0.24329686164856,0.00741028785705566,2025-06-09 18:40:31.000643,SimB,0.0,115000.0,5.0,MIXTURE,25.0,[ 1.62434536 -0.61175641 -0.52817175 -1.07296862  0.86540763],0.0,[0. 0. 0. 0. 0.],"[1.08485284915041, -0.244300599449734, -0.377039384976165, -0.620705563634643, 0.363685443968746]",0.222153487616242,0.1718647875508651,0.18103679156731198,0.23423836188927352,0.15908935498276996
SimB_rep0_n115000_d5_corrMIXTURE_NA25,MICE.1.IMP,5000,"[[1.1035071004926, -0.161242057279765, -0.347910635655243, -0.636088538322019, 0.454521170484562], [0.1707351562869]]",SimB_rep0_n115000_d5_corrMIXTURE_NA25_MICE.1.IMP_5000,0.363759994506836,0.00837802886962891,2025-06-09 18:40:35.183948,SimB,0.0,115000.0,5.0,MIXTURE,25.0,[ 1.62434536 -0.61175641 -0.52817175 -1.07296862  0.86540763],0.0,[0. 0. 0. 0. 0.],"[1.1035071004926, -0.161242057279765, -0.347910635655243, -0.636088538322019, 0.454521170484562]",0.1707351562869,0.18086958386619612,0.1732843264597069,0.2171705533854794,0.14926202098180777
SimB_rep0_n115000_d5_corrMIXTURE_NA25,MICE.1.IMP,10000,"[[1.01345956389377, -0.155286696597521, -0.353495803536112, -0.589479659429693, 0.409491462472241], [0.174242227851992]]",SimB_rep0_n115000_d5_corrMIXTURE_NA25_MICE.1.IMP_10000,0.5189456939697271,0.0119404792785645,2025-06-09 18:40:40.999768,SimB,0.0,115000.0,5.0,MIXTURE,25.0,[ 1.62434536 -0.61175641 -0.52817175 -1.07296862  0.86540763],0.0,[0. 0. 0. 0. 0.],"[1.01345956389377, -0.155286696597521, -0.353495803536112, -0.589479659429693, 0.409491462472241]",0.17424222785199198,0.18124811858720477,0.21073577364353882,0.22448724948855064,0.18067320369741993
SimB_rep0_n115000_d5_corrMIXTURE_NA25,MICE.1.IMP,50000,"[[0.962460824067915, -0.137359934312881, -0.369409358256272, -0.57297363058511, 0.398937010988087], [0.18072709197188]]",SimB_rep0_n115000_d5_corrMIXTURE_NA25_MICE.1.IMP_50000,2.46769952774048,0.0249240398406982,2025-06-09 18:40:48.632975,SimB,0.0,115000.0,5.0,MIXTURE,25.0,[ 1.62434536 -0.61175641 -0.52817175 -1.07296862  0.86540763],0.0,[0. 0. 0. 0. 0.],"[0.962460824067915, -0.137359934312881, -0.369409358256272, -0.57297363058511, 0.398937010988087]",0.18072709197188,0.1906226698291903,0.23118769598478658,0.2379471079210607,0.19810012694942425
SimB_rep0_n115000_d5_corrMIXTURE_NA25,MICE.1.Y.IMP,100,"[[2.43600359362981, -0.612586657686275, -0.56388347071145, -1.31447618827913, 0.308888369372059], [0.486070156290128]]",SimB_rep0_n115000_d5_corrMIXTURE_NA25_MICE.1.Y.IMP_100,0.32808661460876504,0.00855183601379395,2025-06-09 18:41:11.925184,SimB,0.0,115000.0,5.0,MIXTURE,25.0,[ 1.62434536 -0.61175641 -0.52817175 -1.07296862  0.86540763],0.0,[0. 0. 0. 0. 0.],"[2.43600359362981, -0.612586657686275, -0.56388347071145, -1.31447618827913, 0.308888369372059]",0.486070156290128,0.3104280459706057,0.2056209395024851,0.3506061443661191,0.2107281490580558
SimB_rep0_n115000_d5_corrMIXTURE_NA25,MICE.1.Y.IMP,500,"[[1.82115384606615, -0.686434545410136, -0.35241026112516, -1.51630626043862, 0.968022456684177], [0.360333455628016]]",SimB_rep0_n115000_d5_corrMIXTURE_NA25_MICE.1.Y.IMP_500,0.360421657562256,0.00894403457641602,2025-06-09 18:41:16.444979,SimB,0.0,115000.0,5.0,MIXTURE,25.0,[ 1.62434536 -0.61175641 -0.52817175 -1.07296862  0.86540763],0.0,[0. 0. 0. 0. 0.],"[1.82115384606615, -0.686434545410136, -0.35241026112516, -1.51630626043862, 0.968022456684177]",0.360333455628016,0.14406511100539837,0.0564561142305184,0.19641100251873422,0.06868679506623655
SimB_rep0_n115000_d5_corrMIXTURE_NA25,MICE.1.Y.IMP,1000,"[[1.86473132633266, -0.664605370300626, -0.468833808906495, -1.21967929592512, 0.872524820365311], [0.262828665537048]]",SimB_rep0_n115000_d5_corrMIXTURE_NA25_MICE.1.Y.IMP_1000,0.376857995986938,0.00865769386291504,2025-06-09 18:41:23.005843,SimB,0.0,115000.0,5.0,MIXTURE,25.0,[ 1.62434536 -0.61175641 -0.52817175 -1.07296862  0.86540763],0.0,[0. 0. 0. 0. 0.],"[1.86473132633266, -0.664605370300626, -0.468833808906495, -1.21967929592512, 0.872524820365311]",0.26282866553704803,0.06425766063571635,0.017134818699372358,0.12186624688838757,0.025792166820807882
SimB_rep0_n115000_d5_corrMIXTURE_NA25,MICE.1.Y.IMP,5000,"[[1.84709629076564, -0.418415507941281, -0.506010376063908, -1.12539181837204, 0.882340446901054], [0.135255224508718]]",SimB_rep0_n115000_d5_corrMIXTURE_NA25_MICE.1.Y.IMP_5000,0.865402460098267,0.00974535942077637,2025-06-09 18:41:28.236409,SimB,0.0,115000.0,5.0,MIXTURE,25.0,[ 1.62434536 -0.61175641 -0.52817175 -1.07296862  0.86540763],0.0,[0. 0. 0. 0. 0.],"[1.84709629076564, -0.418415507941281, -0.506010376063908, -1.12539181837204, 0.882340446901054]",0.13525522450871802,0.11148024546946116,0.018104944015266473,0.12456165189818655,0.018136449305539343
SimB_rep0_n115000_d5_corrMIXTURE_NA25,MICE.1.Y.IMP,10000,"[[1.7940797966652, -0.463338156554537, -0.497203976153268, -1.05805548617905, 0.798642441802007], [0.146737728766316]]",SimB_rep0_n115000_d5_corrMIXTURE_NA25_MICE.1.Y.IMP_10000,0.9883463382720952,0.0101103782653809,2025-06-09 18:40:31.175509,SimB,0.0,115000.0,5.0,MIXTURE,25.0,[ 1.62434536 -0.61175641 -0.52817175 -1.07296862  0.86540763],0.0,[0. 0. 0. 0. 0.],"[1.7940797966652, -0.463338156554537, -0.497203976153268, -1.05805548617905, 0.798642441802007]",0.146737728766316,0.10050639199307673,0.011295350375670367,0.11847950781442912,0.013001452153641457
SimB_rep0_n115000_d5_corrMIXTURE_NA25,MICE.1.Y.IMP,50000,"[[1.73228763069657, -0.396392780542646, -0.521381782507301, -1.0681335216447, 0.84792746959066], [0.170197204490055]]",SimB_rep0_n115000_d5_corrMIXTURE_NA25_MICE.1.Y.IMP_50000,2.74645137786865,0.0261368751525879,2025-06-09 18:40:41.208474,SimB,0.0,115000.0,5.0,MIXTURE,25.0,[ 1.62434536 -0.61175641 -0.52817175 -1.07296862  0.86540763],0.0,[0. 0. 0. 0. 0.],"[1.73228763069657, -0.396392780542646, -0.521381782507301, -1.0681335216447, 0.84792746959066]",0.170197204490055,0.10520725327754522,0.011681612907753937,0.12847045979630284,0.014562525492499881
