set_up,method,n_train,estimated_beta,file_name,running_time_train,running_time_pred,running_datetime,sim,replicate,n,d,corr,prop_NA,true_beta,center_X,pred_beta,pred_intercept,true_intercept,angular_error,mse_error,angular_error_with_intercept,mse_error_with_intercept
SimNLMNAR_rep0_n115000_d5_corr95_NA25,MICE.1.IMP,500,"[[-0.172599654512989, 0.734487468256009, -0.54985828714471, -0.254685127744993, 0.291645003603225], [0.185355091731402]]",SimNLMNAR_rep0_n115000_d5_corr95_NA25_MICE.1.IMP_500,0.137935161590576,0.0030953884124755,2025-11-28 01:02:00.107686,SimNLMNAR,0.0,115000.0,5.0,95.0,25.0,[ 1.62434536 -0.61175641 -0.52817175 -1.07296862  0.86540763],[0. 0. 0. 0. 0.],"[-0.172599654512989, 0.734487468256009, -0.54985828714471, -0.254685127744993, 0.291645003603225]",0.185355091731402,0.0,1.533274355140334,1.2081291391929943,1.5338901327269807,1.0125003676659545
SimNLMNAR_rep1_n115000_d5_corr95_NA25,MICE.1.IMP,500,"[[0.49481761090115, 0.113925407448605, -0.275359341483632, -0.45339963064192, 0.328837893405835], [0.293781712873607]]",SimNLMNAR_rep1_n115000_d5_corr95_NA25_MICE.1.IMP_500,0.533435344696045,0.0065743923187255,2025-11-28 01:02:00.278062,SimNLMNAR,1.0,115000.0,5.0,95.0,25.0,[ 1.62434536 -0.61175641 -0.52817175 -1.07296862  0.86540763],[0. 0. 0. 0. 0.],"[0.49481761090115, 0.113925407448605, -0.275359341483632, -0.45339963064192, 0.328837893405835]",0.293781712873607,0.0,0.4502878571674037,0.5076267929725192,0.5629048643988258,0.4374069432802578
SimNLMNAR_rep2_n115000_d5_corr95_NA25,MICE.1.IMP,500,"[[0.477062893619866, -0.465164411022267, -0.244944055764028, -0.302646143844852, 0.391080620830415], [0.35130257141992]]",SimNLMNAR_rep2_n115000_d5_corr95_NA25_MICE.1.IMP_500,0.120549440383911,0.0066242218017578,2025-11-28 01:02:00.850259,SimNLMNAR,2.0,115000.0,5.0,95.0,25.0,[ 1.62434536 -0.61175641 -0.52817175 -1.07296862  0.86540763],[0. 0. 0. 0. 0.],"[0.477062893619866, -0.465164411022267, -0.244944055764028, -0.302646143844852, 0.391080620830415]",0.35130257141992,0.0,0.34968624448821517,0.4472694055014716,0.514667710034972,0.3932934206989343
SimNLMNAR_rep3_n115000_d5_corr95_NA25,MICE.1.IMP,500,"[[0.576066613059537, 0.391413607525165, -0.655374552778198, -0.428306943034765, 0.298854509991471], [0.274289758637506]]",SimNLMNAR_rep3_n115000_d5_corr95_NA25_MICE.1.IMP_500,0.129184484481812,0.0030102729797363,2025-11-28 01:02:01.008639,SimNLMNAR,3.0,115000.0,5.0,95.0,25.0,[ 1.62434536 -0.61175641 -0.52817175 -1.07296862  0.86540763],[0. 0. 0. 0. 0.],"[0.576066613059537, 0.391413607525165, -0.655374552778198, -0.428306943034765, 0.298854509991471]",0.274289758637506,0.0,0.7825542380409631,0.5715980167844328,0.8125313967059965,0.48887082593593084
SimNLMNAR_rep4_n115000_d5_corr95_NA25,MICE.1.IMP,500,"[[0.148185559154185, 1.00532850740034, -0.551227870697082, -0.463717044488643, 0.259011096263266], [0.247404563312037]]",SimNLMNAR_rep4_n115000_d5_corr95_NA25_MICE.1.IMP_500,0.129911184310913,0.003000259399414,2025-11-28 01:02:01.169463,SimNLMNAR,4.0,115000.0,5.0,95.0,25.0,[ 1.62434536 -0.61175641 -0.52817175 -1.07296862  0.86540763],[0. 0. 0. 0. 0.],"[0.148185559154185, 1.00532850740034, -0.551227870697082, -0.463717044488643, 0.259011096263266]",0.247404563312037,0.0,1.3487079881775343,1.1066894421618834,1.352858289854209,0.9324427047928392
SimNLMNAR_rep5_n115000_d5_corr95_NA25,MICE.1.IMP,500,"[[0.324671485709497, 0.127350310914879, -0.223201450648166, -0.262451426686805, 0.314091852472309], [0.341078338273424]]",SimNLMNAR_rep5_n115000_d5_corr95_NA25_MICE.1.IMP_500,0.1353759765625,0.0030794143676757,2025-11-28 01:02:01.330297,SimNLMNAR,5.0,115000.0,5.0,95.0,25.0,[ 1.62434536 -0.61175641 -0.52817175 -1.07296862  0.86540763],[0. 0. 0. 0. 0.],"[0.324671485709497, 0.127350310914879, -0.223201450648166, -0.262451426686805, 0.314091852472309]",0.341078338273424,0.0,0.5645536591404897,0.657865003021768,0.7540042496679443,0.5676099079913667
SimNLMNAR_rep6_n115000_d5_corr95_NA25,MICE.1.IMP,500,"[[0.647891158943821, 0.13669415774424, -0.709149515209244, -0.307317875966947, 0.32327075661849], [0.07586334617539]]",SimNLMNAR_rep6_n115000_d5_corr95_NA25_MICE.1.IMP_500,0.507154703140259,0.0031304359436035,2025-11-28 01:02:01.497654,SimNLMNAR,6.0,115000.0,5.0,95.0,25.0,[ 1.62434536 -0.61175641 -0.52817175 -1.07296862  0.86540763],[0. 0. 0. 0. 0.],"[0.647891158943821, 0.13669415774424, -0.709149515209244, -0.307317875966947, 0.32327075661849]",0.07586334617539,0.0,0.639171076405676,0.485305492387063,0.6425459389845184,0.4053804515380403
SimNLMNAR_rep7_n115000_d5_corr95_NA25,MICE.1.IMP,500,"[[0.581497491083577, 0.0721221581096334, -0.628970431549836, -0.241579954563787, 0.283962330948189], [0.156519520536482]]",SimNLMNAR_rep7_n115000_d5_corr95_NA25_MICE.1.IMP_500,0.124836683273315,0.0031056404113769,2025-11-28 01:02:02.035912,SimNLMNAR,7.0,115000.0,5.0,95.0,25.0,[ 1.62434536 -0.61175641 -0.52817175 -1.07296862  0.86540763],[0. 0. 0. 0. 0.],"[0.581497491083577, 0.0721221581096334, -0.628970431549836, -0.241579954563787, 0.283962330948189]",0.156519520536482,0.0,0.6200281020398,0.5189335393261298,0.6389217353192785,0.43652767615660326
SimNLMNAR_rep8_n115000_d5_corr95_NA25,MICE.1.IMP,500,"[[0.225062136888689, 0.122325300748914, -0.678472105181875, -0.135051426767831, 0.347526382744759], [0.31549148275312]]",SimNLMNAR_rep8_n115000_d5_corr95_NA25_MICE.1.IMP_500,0.128643035888672,0.0030374526977539,2025-11-28 01:02:02.192097,SimNLMNAR,8.0,115000.0,5.0,95.0,25.0,[ 1.62434536 -0.61175641 -0.52817175 -1.07296862  0.86540763],[0. 0. 0. 0. 0.],"[0.225062136888689, 0.122325300748914, -0.678472105181875, -0.135051426767831, 0.347526382744759]",0.31549148275312,0.0,0.9407374914815375,0.7334698681847566,0.9890312706706221,0.6278140361022574
SimNLMNAR_rep9_n115000_d5_corr95_NA25,MICE.1.IMP,500,"[[0.0858947958844228, 0.0436964762983378, -0.309037952764717, -0.198207759924808, 0.320558159171897], [0.263009515288241]]",SimNLMNAR_rep9_n115000_d5_corr95_NA25_MICE.1.IMP_500,0.1304612159729,0.0031187534332275,2025-11-28 01:02:02.352937,SimNLMNAR,9.0,115000.0,5.0,95.0,25.0,[ 1.62434536 -0.61175641 -0.52817175 -1.07296862  0.86540763],[0. 0. 0. 0. 0.],"[0.0858947958844228, 0.0436964762983378, -0.309037952764717, -0.198207759924808, 0.320558159171897]",0.263009515288241,0.0,0.8274775477452151,0.7813071507312535,0.9296705178457305,0.6626182931314037
SimNLMNAR_rep0_n115000_d5_corr95_NA25,MICE.1.IMP,1000,"[[0.600830025094063, -0.168754961701834, -0.407453052112429, -0.24739818707515, 0.31187627536826], [0.235060356246822]]",SimNLMNAR_rep0_n115000_d5_corr95_NA25_MICE.1.IMP_1000,0.535457611083984,0.0030462741851806,2025-11-28 01:02:02.516024,SimNLMNAR,0.0,115000.0,5.0,95.0,25.0,[ 1.62434536 -0.61175641 -0.52817175 -1.07296862  0.86540763],[0. 0. 0. 0. 0.],"[0.600830025094063, -0.168754961701834, -0.407453052112429, -0.24739818707515, 0.31187627536826]",0.235060356246822,0.0,0.3163962108774111,0.4492740856563458,0.41381271258206587,0.3836039665601019
